x,y
1360.4271697998047,580.4259324073792
1359.7971725463867,580.4259324073792
1349.6390533447266,599.9050140380859
1339.5216751098633,619.078323841095
1329.3847274780273,637.7441167831421
1319.2541885375977,655.4560303688049
1309.1095733642578,672.6577234268188
1299.012107849121,689.3466210365295
1288.9057159423828,705.357027053833
1278.7913131713867,721.0254192352295
1268.6945343017578,736.0395240783691
1258.6134338378906,750.11873960495
1248.556022644043,763.5799741744995
1238.5378646850586,776.4010190963745
1228.5066604614258,788.862669467926
1218.479347229004,800.9777998924255
1208.5261917114258,812.8838467597961
1198.6323165893555,824.5362639427185
1188.8446426391602,835.8071422576904
1179.0767669677734,846.2252712249756
1169.3768692016602,856.0128664970398
1159.7246932983398,865.0760722160339
1150.1319122314453,873.5070705413818
1140.5871963500977,881.3573598861694
1131.0774993896484,888.7996530532837
1121.6096878051758,895.777108669281
1112.2251892089844,901.991937160492
1102.8559112548828,907.6869535446167
1093.487548828125,912.8108525276184
1084.1703414916992,917.4081158638
1074.8535919189453,921.2660551071167
1065.505256652832,924.4606304168701
1056.1809539794922,927.3272895812988
1046.909523010254,929.9383234977722
1037.6569747924805,932.3158764839172
1028.4804153442383,934.1642189025879
1019.3574142456055,935.594973564148
1010.2753829956055,936.4040780067444
1001.187629699707,936.927752494812
992.0408248901367,936.8979477882385
982.9645156860352,936.5045642852783
973.9102935791016,935.6527161598206
964.8354721069336,934.0075993537903
955.8043670654297,931.825225353241
946.7827033996582,929.2307353019714
937.7402687072754,925.8924150466919
928.7800025939941,922.0460629463196
919.808464050293,917.8734040260315
910.8498001098633,913.4072685241699
901.9433784484863,908.6163067817688
893.0354690551758,903.4194731712341
884.1820335388184,897.3272109031677
875.2868843078613,890.7742309570312
866.4356803894043,883.6409282684326
857.548713684082,875.9540820121765
848.657398223877,867.7492904663086
839.8493385314941,858.856737613678
831.0889434814453,849.552583694458
822.3854827880859,839.6419715881348
813.6947250366211,829.0772652626038
805.0027656555176,818.2474708557129
796.3302612304688,806.9603705406189
787.646541595459,795.3852653503418
778.978214263916,783.506190776825
770.3257369995117,771.3700103759766
761.7099952697754,758.8976740837097
753.1147384643555,746.0070419311523
744.5372772216797,732.6158452033997
735.9943199157715,718.5564565658569
727.4718475341797,704.0368008613586
718.9533805847168,689.2764544487
710.4240989685059,674.1377878189087
701.9098091125488,658.4940505027771
693.4159469604492,642.308099269867
684.9589347839355,625.6961274147034
676.5184020996094,607.5853586196899
668.1107711791992,588.785605430603
666.240291595459,588.785605430603
