x,y
1186.0272216796875,507.0395350456238
1186.0272216796875,507.0395350456238
1214.2325592041016,521.8240213394165
1235.4121398925781,534.9885928630829
1247.9966354370117,542.1767091751099
1250.7919692993164,544.3208456039429
1244.9678421020508,540.3866243362427
1229.443016052246,531.0659909248352
1205.9116744995117,517.0820152759552
1169.373893737793,494.40343379974365
1128.1227493286133,478.48755955696106
1072.6863098144531,462.1085858345032
1019.8982620239258,453.3332562446594
958.7920761108398,447.6636028289795
898.146858215332,451.6608452796936
838.146915435791,458.1608462333679
783.5710716247559,473.20144057273865
736.2645721435547,493.0603229999542
701.6167259216309,510.06925106048584
670.7385063171387,527.5549256801605
648.889331817627,541.3381862640381
636.4681434631348,549.3364691734314
633.4610939025879,551.5005612373352
636.4611053466797,548.0005359649658
651.9534873962402,536.9015979766846
677.5728607177734,521.3127386569977
712.0658111572266,502.1883523464203
750.4934120178223,487.6992738246918
800.8295631408691,469.64531421661377
858.0361175537109,456.11314058303833
918.5401153564453,448.7458097934723
985.2109909057617,450.33321619033813
1041.1149215698242,454.5254445075989
1095.0865173339844,471.193163394928
1139.2687225341797,484.8483216762543
1180.5411529541016,504.6908211708069
1209.1143035888672,519.7711336612701
1229.1046142578125,531.7454159259796
1240.3762435913086,538.5094106197357
1242.4606704711914,540.0070810317993
1236.243782043457,536.0271549224854
1217.988624572754,518.5657489299774
1193.243751525879,507.5494658946991
1160.8256149291992,493.793306350708
1115.584602355957,473.9508068561554
1068.3939743041992,462.1214282512665
1008.5476684570312,449.52221274375916
951.3760757446289,447.8220248222351
892.3959159851074,451.35900020599365
840.1091766357422,458.9185166358948
788.0643653869629,473.21837067604065
741.8428802490234,490.96771717071533
707.713794708252,506.8417167663574
678.4723663330078,523.0677402019501
658.2035064697266,535.2216231822968
647.1110343933105,542.5806498527527
644.8178100585938,543.7102031707764
647.1988677978516,540.5353903770447
663.4630966186523,530.1944124698639
689.238395690918,514.7201693058014
723.8721656799316,497.1241271495819
